Product Name,Price,Rating,Best Seller,Brand,Discount,Department,website
Decathlon Men's Running Shoes Jogflow 100.1 Black Grey,"EGP 1,799.00",4.4,0.0,Decathlon,0%,Shose,Jumia
Decathlon Men's Running Shoes Jogflow 100.1 Black Grey,"EGP 1,799.00",4.6,0.0,Decathlon,0%,Shose,Jumia
Decathlon Agility 100 HG Adult Firm Pitch Football Boots - Black/White,"EGP 1,799.00",4.2,0.0,Decathlon,0%,Shose,Jumia
Decathlon RUN ACTIVE GRIP MEN'S RUNNING SHOES - BLACK GREY,"EGP 2,899.00",4.2,0.0,Decathlon,0%,Shose,Jumia
Decathlon Run Active Men's Running Shoes - Khaki,"EGP 2,899.00",4.4,0.0,Decathlon,0%,Shose,Jumia
Decathlon JOGFLOW 500.1 Men's Running Shoes-White,"EGP 3,599.00",5.0,0.0,Decathlon,0%,Shose,Jumia
ADIDAS Advantage Base 2.0 Shoes - white,"EGP 3,458.00 - EGP 3,630.00",4.4,0.0,ADIDAS,25%,Shose,Jumia
ADIDAS LIT48 Advantage Base Tennis Shoes - Ftwr White,"EGP 2,450.00 - EGP 2,458.00",4.7,0.0,ADIDAS,47%,Shose,Jumia
Decathlon Men's Waterproof Mountain Walking Shoes - MH100 Mid - Black,"EGP 5,499.00",0.0,0.0,Decathlon,0%,Shose,Jumia
ADIDAS IF1402 Deportivo III Flexible Ground Boots,"EGP 1,927.00 - EGP 2,070.00",4.2,0.0,ADIDAS,29%,Shose,Jumia
ADIDAS VL Court Base Shoes - White,"EGP 3,156.00",4.0,0.0,ADIDAS,21%,Shose,Jumia
Decathlon Men's Mountain Hiking Shoes - MH100 - Grey,"EGP 3,799.00",4.6,0.0,Decathlon,0%,Shose,Jumia
ADIDAS Lite Racer 4.0 Shoes - core black,"EGP 2,840.00",4.3,0.0,ADIDAS,21%,Shose,Jumia
ADIDAS Breaknet 2.0 Shoes - White,"EGP 3,156.00",4.1,0.0,ADIDAS,21%,Shose,Jumia
Decathlon Men's Running Shoes JOGFLOW 500K.1 - Black,"EGP 3,999.00",0.0,0.0,Decathlon,0%,Shose,Jumia
Decathlon Kidsâ€™ Hiking Shoes With Rip-tab MH100 From Jr Size 7 To Adult Size 2 Blue & Pink,EGP 999.00,4.8,0.0,Decathlon,0%,Shose,Jumia
ADIDAS MDJ41 Running Galaxy Star Shoes- Grey,"EGP 3,004.00 - EGP 3,146.00",4.2,0.0,ADIDAS,45%,Shose,Jumia
ADIDAS LIT50 Grand Court Base 2.0 Tennis Shoes - Core Black,"EGP 3,550.00 - EGP 3,630.00",4.4,0.0,ADIDAS,23%,Shose,Jumia
ADIDAS MDJ41 Galaxy Star M Running Shoes - Grey,"EGP 3,136.00 - EGP 3,157.00",4.3,0.0,ADIDAS,43%,Shose,Jumia
ADIDAS LIT48 Advantage Base Tennis Shoes - Core Black,"EGP 2,467.00 - EGP 2,468.00",4.5,0.0,ADIDAS,46%,Shose,Jumia
EVA Men's Fashion Casual SPORT SHOES NAVY,EGP 325.00,5.0,0.0,Generic,50%,Shose,Jumia
ADIDAS LIT50 Grand Court Base 2.0 Tennis Shoes - Ftwr White,"EGP 3,630.00",4.4,0.0,ADIDAS,21%,Shose,Jumia
Blue Bird Sport Shoes B7t Boots Football Tartan Silver,EGP 359.00,3.5,0.0,Blue Bird,40%,Shose,Jumia
ADIDAS IH7970 Break Start Mid Shoes,"EGP 3,287.00 - EGP 3,302.00",4.6,0.0,ADIDAS,29%,Shose,Jumia
ADIDAS NKG81 Courtblock Tennis Shoes - Ftwr White,"EGP 3,156.00",5.0,0.0,ADIDAS,21%,Shose,Jumia
ADIDAS LZW99 Kaptir 3.0 Running Shoes - Core Black,"EGP 4,018.00",5.0,0.0,ADIDAS,46%,Shose,Jumia
ADIDAS LTC84 Football/Soccer Predator Accuracy.4 Indoor Sala Boots- Black,"EGP 2,131.00 - EGP 2,133.00",4.3,0.0,ADIDAS,44%,Shose,Jumia
Blue Bird B7T Men's Tartan Sneakers Blue,EGP 359.00,4.2,0.0,Blue Bird,40%,Shose,Jumia
ADIDAS LYS52 Kantana Tennis Shoes - Core Black,"EGP 4,018.00",4.4,0.0,ADIDAS,43%,Shose,Jumia
EVA Men's Fashion SPOTR SHOES BLACK,EGP 325.00,0.0,0.0,Generic,50%,Shose,Jumia
Anta X-Game Shoes For Men - Multi Color,"EGP 2,647.00 - EGP 4,069.00",5.0,0.0,Anta,35%,Shose,Jumia
ADIDAS Cloudfoam Comfy Shoes - grey five,"EGP 2,999.00",4.6,0.0,ADIDAS,0%,Shose,Jumia
ADIDAS Court Shoes - ftwr white,"EGP 2,835.00",4.3,0.0,ADIDAS,24%,Shose,Jumia
ADIDAS MCY03 Football/Soccer Deportivo Ii Flexible Ground Boots- Black,"EGP 1,536.00",4.4,0.0,ADIDAS,43%,Shose,Jumia
EVA Men's Fashion Casual SPORT SHOES GRAY,EGP 325.00,3.0,0.0,Generic,50%,Shose,Jumia
ADIDAS IF1400 Deportivo III Flexible Ground Boots,"EGP 2,068.00 - EGP 2,070.00",4.6,0.0,ADIDAS,23%,Shose,Jumia
Blue Bird Sport Shoes B7t Boots Football Tartan Black,EGP 359.00,3.1,0.0,Blue Bird,40%,Shose,Jumia
White- F.16,EGP 390.00,0.0,0.0,Generic,33%,Shose,Jumia
Diadora Brasil Elite For Adult - Black/Gold,"EGP 1,245.00",4.7,0.0,Diadora,50%,Shose,Jumia
(UR)Men's Fashion Casual BLACK,EGP 249.00,0.0,0.0,Generic,50%,Shose,Jumia
General Men's Running Shoes With Laces,EGP 700.00,0.0,0.0,General,0%,Shose,Jumia
General Men's Running Shoes With Laces,EGP 700.00,3.0,0.0,General,0%,Shose,Jumia
General Men's Running Shoes With Laces,EGP 700.00,4.5,0.0,General,0%,Shose,Jumia
Starter CasualEase Pro Men Sneakers - Beige,"EGP 1,113.00",5.0,0.0,Starter,30%,Shose,Jumia
Starter ActiveFusion Men Sneakers - Brown,"EGP 1,356.00",4.0,0.0,Starter,20%,Shose,Jumia
Starter ActiveFusion Men Sneakers - Navy,"EGP 1,356.00",4.9,0.0,Starter,20%,Shose,Jumia
Starter PowerStep Men Sneakers - Grey,"EGP 1,356.00",5.0,0.0,Starter,20%,Shose,Jumia
Starter PowerStep Men Sneakers - Black,"EGP 1,356.00",4.0,0.0,Starter,20%,Shose,Jumia
Starter PowerStep Men Sneakers - Navy,"EGP 1,356.00",3.2,0.0,Starter,20%,Shose,Jumia
Starter EliteSteps Men Sneakers - Navy,"EGP 1,113.00",4.4,0.0,Starter,30%,Shose,Jumia
General Men's Running Shoes With Laces,EGP 700.00,0.0,0.0,General,0%,Shose,Jumia
Starter EliteSteps Men Sneakers - Black,"EGP 1,113.00",3.5,0.0,Starter,30%,Shose,Jumia
ADIDAS Duramo SL Shoes,"EGP 3,300.00",0.0,0.0,ADIDAS,34%,Shose,Jumia
ADIDAS LRJ90 Court Revival Tennis Shoes - Core Black,"EGP 4,305.00",4.5,0.0,ADIDAS,43%,Shose,Jumia
ADIDAS VL Court 3.0 Shoes - White,"EGP 4,734.00",5.0,0.0,ADIDAS,21%,Shose,Jumia
ADIDAS MCY04 Deportivo Ii Fxg J Football/Soccer Shoes - Core Black,"EGP 1,291.00",4.7,0.0,ADIDAS,43%,Shose,Jumia
D.S Men's Fashion Casual GRAY,EGP 420.00,3.0,0.0,Generic,34%,Shose,Jumia
Nike Court Vision Mid Nn Shoes For Mens - Black/White-Black,"EGP 5,200.00",4.8,0.0,Nike,35%,Shose,Jumia
ADIDAS Lzq32 Running Footwear Shoes - White,"EGP 2,838.00",4.1,0.0,ADIDAS,35%,Shose,Jumia
ADIDAS IH5289 Zapatillas Break Start - Black,"EGP 2,117.00",4.6,0.0,ADIDAS,24%,Shose,Jumia
ADIDAS LZQ32 Duramo Sl M Running Shoes - Core Black,"EGP 3,300.00",4.4,0.0,ADIDAS,34%,Shose,Jumia
